2018-12-10 01:32:42pm   LOGOUT   Level: 2-9   Cards: 
2018-12-10 01:32:53pm   RUN         Level: 2-9   Cards: event,laser,move
2018-12-10 01:34:09pm   RUN         Level: 2-9   Cards: event,laser,move,left,laser,move,move,right,move,move
2018-12-10 01:34:19pm   RUN         Level: 2-9   Cards: event,laser,move,left,laser,laser,move,move,right,move,move
2018-12-10 01:34:26pm   COMPLETE    Level: 2-9   Cards: 
2018-12-10 01:35:04pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move,right,left,laser,move,move
2018-12-10 01:35:33pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move,right,move,left,laser,move,move
2018-12-10 01:35:41pm   COMPLETE    Level: 2-10   Cards: 
2018-12-10 01:35:54pm   RUN         Level: 3-1   Cards: event,move,move,left,move
2018-12-10 01:35:57pm   COMPLETE    Level: 3-1   Cards: 
2018-12-10 01:36:33pm   RUN         Level: 3-2   Cards: event,move,move,left,move,move,left,move
2018-12-10 01:36:37pm   COMPLETE    Level: 3-2   Cards: 
2018-12-10 01:37:20pm   RUN         Level: 3-3   Cards: event,laser,move,move,move,left,move,move,left,move
2018-12-10 01:37:26pm   COMPLETE    Level: 3-3   Cards: 
2018-12-10 01:37:51pm   RUN         Level: 3-4   Cards: event,move,move,left,move,laser,move,move
2018-12-10 01:37:55pm   COMPLETE    Level: 3-4   Cards: 
2018-12-10 01:38:56pm   RUN         Level: 3-5   Cards: event,move,move,left,right,laser,left,laser,move,move
