2018-12-10 01:33:27pm   RUN         Level: 3-4   Cards: event,left,laser,move,right,right,move,left,move,move,left,move,right,laser,move,left,move
2018-12-10 01:33:58pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,left,move,move,left,move,right,laser,move,left,move
2018-12-10 01:34:09pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,left,move,move,left,move,right,laser,move,left,move
2018-12-10 01:34:29pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,move,left,move,right,laser,move,left,move
2018-12-10 01:34:51pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,move
2018-12-10 01:35:07pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,left,laser,move
2018-12-10 01:35:49pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,left,laser,right,laser,move,move
2018-12-10 01:36:10pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,left,move
2018-12-10 01:36:24pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,move
2018-12-10 01:36:51pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser
2018-12-10 01:37:25pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,move,left,laser
2018-12-10 01:37:53pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,move,left,laser,move
2018-12-10 01:38:15pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,move,left,laser,move,left
2018-12-10 01:38:35pm   RUN         Level: 3-4   Cards: event,left,laser,right,move,move,left,move,right,laser,move,left,move,left,laser,move,right
