2018-12-10 01:27:27pm   RUN         Level: 2-7   Cards: event,move,left,move,move,laser,right
2018-12-10 01:27:46pm   RUN         Level: 2-7   Cards: event,move,left,move,laser
2018-12-10 01:28:25pm   RUN         Level: 2-7   Cards: event,move,left,move,laser,move,right,laser,move,move,left,move,left,move
2018-12-10 01:28:34pm   COMPLETE    Level: 2-7   Cards: 
2018-12-10 01:28:51pm   RUN         Level: 2-8   Cards: event,move,laser
2018-12-10 01:29:11pm   RUN         Level: 2-8   Cards: event,move,laser,left,move,laser
2018-12-10 01:29:24pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser
2018-12-10 01:29:44pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right
2018-12-10 01:30:37pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move,right,move,move
2018-12-10 01:31:03pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left
2018-12-10 01:31:26pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move,left,move,left
2018-12-10 01:31:51pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move
2018-12-10 01:32:25pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move,left,move,right
2018-12-10 01:33:38pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move,left,move,move,right,move
2018-12-10 01:34:18pm   RUN         Level: 2-8   Cards: event,move,laser,move,laser,left,move,laser,right,left,move,left,move,right,move
2018-12-10 01:34:27pm   COMPLETE    Level: 2-8   Cards: 
2018-12-10 01:35:00pm   RUN         Level: 2-9   Cards: event,laser,move,left,laser,move,laser
2018-12-10 01:35:15pm   RUN         Level: 2-9   Cards: event,laser,move,left,laser,move,laser,move,right,move,move
2018-12-10 01:35:22pm   COMPLETE    Level: 2-9   Cards: 
2018-12-10 01:35:36pm   RUN         Level: 2-10   Cards: event,laser,move
2018-12-10 01:36:33pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move,left,laser,move,right,laser,move,move
2018-12-10 01:36:50pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move
2018-12-10 01:37:16pm   RUN         Level: 2-10   Cards: event,laser,move,move,left,laser,move,move,right,laser,move,left,move
2018-12-10 01:37:24pm   COMPLETE    Level: 2-10   Cards: 
2018-12-10 01:37:43pm   RUN         Level: 3-1   Cards: event,move,move,move
2018-12-10 01:37:59pm   RUN         Level: 3-1   Cards: event,move,move,move,left,move
2018-12-10 01:38:10pm   RUN         Level: 3-1   Cards: event,move,move
2018-12-10 01:38:22pm   RUN         Level: 3-1   Cards: event,move,move,left,move
2018-12-10 01:38:26pm   COMPLETE    Level: 3-1   Cards: 
2018-12-10 01:39:11pm   RUN         Level: 3-2   Cards: event,move,move,left,move,move,right,move
