2018-12-10 11:34:29am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move
2018-12-10 11:34:53am   RUN         Level: 2-6   Cards: event,laser,move,move,left,laser,move,move,left,laser,move,move
2018-12-10 11:35:00am   COMPLETE    Level: 2-6   Cards: 
2018-12-10 11:35:38am   RUN         Level: 2-7   Cards: move,event,move,left
2018-12-10 11:35:50am   RUN         Level: 2-7   Cards: event,move,left,move
2018-12-10 11:36:09am   RUN         Level: 2-7   Cards: event,move,left,move,right,laser,move
2018-12-10 11:36:31am   RUN         Level: 2-7   Cards: event,move,left,move,right,laser,move,left,laser,move,move
2018-12-10 11:36:38am   COMPLETE    Level: 2-7   Cards: 
2018-12-10 11:37:21am   RUN         Level: 2-8   Cards: event,move,laser
2018-12-10 11:37:34am   RUN         Level: 2-8   Cards: event,move,laser,move,left
2018-12-10 11:37:42am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser
2018-12-10 11:38:20am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move,move,left,move
2018-12-10 11:38:41am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move,move,left
2018-12-10 11:38:52am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move,move
2018-12-10 11:39:02am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move
2018-12-10 11:40:01am   RUN         Level: 2-8   Cards: event,move,laser,move,left,move,laser,move,left,move,right,move
2018-12-10 11:40:09am   COMPLETE    Level: 2-8   Cards: 
2018-12-10 11:40:48am   RUN         Level: 2-9   Cards: event,laser,move
2018-12-10 11:41:04am   RUN         Level: 2-9   Cards: event,laser,move,left,laser,move,laser,move
